System.Diagnostics.DebuggerHiddenAttribute-mscorlib,14
System.Diagnostics.DebuggerHiddenAttribute-I18N.CJK,6
System.Diagnostics.DebuggerHiddenAttribute-I18N,3
System.Diagnostics.DebuggerHiddenAttribute-System.Text.Encodings.Web,1
System.Diagnostics.DebuggerHiddenAttribute-System.Security.Policy.Evidence System.Reflection.Assembly,4
System.Diagnostics.DebuggerHiddenAttribute-System.Reflection.Assembly System.Reflection.Assembly,4
System.Diagnostics.DebuggerStepThroughAttribute-mscorlib,9
System.Diagnostics.DebuggerStepThroughAttribute-I18N.CJK,4
System.Diagnostics.DebuggerStepThroughAttribute-I18N,3
System.Diagnostics.DebuggerStepThroughAttribute-System.Security.Policy.Evidence System.Reflection.Assembly,4
System.Diagnostics.DebuggerStepThroughAttribute-System.Reflection.Assembly System.Reflection.Assembly,4
System.Diagnostics.DebuggerStepThroughAttribute-WebApp,1
System.Runtime.InteropServices.ClassInterfaceAttribute-mscorlib,23
System.Runtime.InteropServices.ClassInterfaceAttribute-System.Reflection.RuntimeAssembly,1
System.Runtime.InteropServices.ClassInterfaceAttribute-I18N,1
System.Runtime.InteropServices.ComVisibleAttribute-mscorlib,306
System.Runtime.InteropServices.ComVisibleAttribute-System.Reflection.RuntimeAssembly,1
System.Runtime.InteropServices.ComVisibleAttribute-I18N,44
System.Runtime.InteropServices.ComVisibleAttribute-System.Text.Json,1
System.Runtime.InteropServices.ComVisibleAttribute-System.Text.Encodings.Web,8
System.Runtime.InteropServices.ComVisibleAttribute-System.IO.Stream System.Reflection.Assembly,6
System.Runtime.InteropServices.ComVisibleAttribute-I18N.CJK,8
System.Runtime.InteropServices.ComVisibleAttribute-System.String System.Reflection.Assembly,5
System.Runtime.InteropServices.ComVisibleAttribute-System.Reflection.Assembly System.Reflection.Assembly,37
System.Runtime.InteropServices.ComVisibleAttribute-System.Security.Policy.Evidence System.Reflection.Assembly,22
System.Runtime.InteropServices.ComVisibleAttribute-System.Boolean System.Reflection.Assembly,2
System.Runtime.InteropServices.ComVisibleAttribute-WebApp,26
System.CLSCompliantAttribute-mscorlib,179
System.CLSCompliantAttribute-I18N,19
System.CLSCompliantAttribute-I18N.CJK,7
System.CLSCompliantAttribute-System.Text.Encodings.Web,6
System.CLSCompliantAttribute-System.IO.Stream System.Reflection.Assembly,2
System.CLSCompliantAttribute-System.Reflection.Assembly System.Reflection.Assembly,1
System.CLSCompliantAttribute-System.Byte* System.Globalization.GlobalizationAssembly,1
System.CLSCompliantAttribute-WebApp,9
System.Reflection.DefaultMemberAttribute-mscorlib,22
System.Reflection.DefaultMemberAttribute-System.Text.Json,1
System.Reflection.DefaultMemberAttribute-System.Text.Encodings.Web,2
System.Reflection.DefaultMemberAttribute-I18N,7
System.Reflection.DefaultMemberAttribute-WebApp,9
System.Reflection.DefaultMemberAttribute-System.Reflection.Assembly System.Reflection.Assembly,4
System.Reflection.DefaultMemberAttribute-System.Security.Policy.Evidence System.Reflection.Assembly,2
System.Diagnostics.DebuggerTypeProxyAttribute-mscorlib,8
System.Diagnostics.DebuggerTypeProxyAttribute-System.Text.Json,1
System.Diagnostics.DebuggerTypeProxyAttribute-WebApp,7
System.Diagnostics.DebuggerTypeProxyAttribute-System.Text.Encodings.Web,2
System.Diagnostics.DebuggerTypeProxyAttribute-System.Reflection.Assembly System.Reflection.Assembly,1
System.Diagnostics.DebuggerTypeProxyAttribute-I18N,1
System.Diagnostics.DebuggerTypeProxyAttribute-I18N.CJK,1
System.Diagnostics.DebuggerDisplayAttribute-mscorlib,8
System.Diagnostics.DebuggerDisplayAttribute-System.Text.Json,1
System.Diagnostics.DebuggerDisplayAttribute-WebApp,10
System.Diagnostics.DebuggerDisplayAttribute-System.Text.Encodings.Web,2
System.Diagnostics.DebuggerDisplayAttribute-I18N,2
System.Diagnostics.DebuggerDisplayAttribute-System.Reflection.Assembly System.Reflection.Assembly,1
System.Diagnostics.DebuggerDisplayAttribute-I18N.CJK,2
System.Runtime.InteropServices.GuidAttribute-mscorlib,24
System.Runtime.InteropServices.GuidAttribute-I18N.CJK,1
System.Runtime.Serialization.OptionalFieldAttribute-mscorlib,19
System.Runtime.Serialization.OptionalFieldAttribute-I18N,4
System.Runtime.Serialization.OptionalFieldAttribute-System.Text.Encodings.Web,6
System.MonoTODOAttribute:mscorlib.dll-mscorlib,16
System.MonoTODOAttribute:mscorlib.dll-System.String System.Reflection.Assembly,1
System.MonoTODOAttribute:mscorlib.dll-System.IO.Stream System.Reflection.Assembly,1
System.MonoTODOAttribute:mscorlib.dll-I18N.CJK,2
System.MonoTODOAttribute:mscorlib.dll-System.Boolean System.Reflection.Assembly,3
System.MonoTODOAttribute:mscorlib.dll-System.Security.Policy.Evidence System.Reflection.Assembly,2
System.MonoTODOAttribute:mscorlib.dll-System.Reflection.Assembly System.Reflection.Assembly,2
System.MonoTODOAttribute:mscorlib.dll-I18N,1
System.MonoTODOAttribute:mscorlib.dll-WebApp,1
System.MonoTODOAttribute:mscorlib.dll-System.Text.Encodings.Web,1
System.Runtime.CompilerServices.IsReadOnlyAttribute-mscorlib,6
System.Runtime.CompilerServices.IsReadOnlyAttribute-System.Text.Json,1
System.Runtime.CompilerServices.IsReadOnlyAttribute-WebApp,7
System.Runtime.CompilerServices.IsReadOnlyAttribute-System.Text.Encodings.Web,5
System.Runtime.CompilerServices.IsReadOnlyAttribute-I18N,7
System.Runtime.CompilerServices.IsReadOnlyAttribute-I18N.CJK,2
